col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13
None,0,0,0,0,0,0,0,0,2,0,1,0,1
None,None,0,0,0,0,0,0,0,0,0,0,2,0
None,None,None,0,0,0,0,1,0,0,0,0,0,1
None,None,None,None,0,0,0,0,0,0,0,0,0,0
None,None,None,None,None,0,0,0,0,0,0,0,0,1
None,None,None,None,None,None,0,1,0,0,0,0,0,0
None,None,None,None,None,None,None,0,0,0,0,0,0,0
None,None,None,None,None,None,None,None,0,0,0,0,1,0
None,None,None,None,None,None,None,None,None,0,0,0,0,0
None,None,None,None,None,None,None,None,None,None,0,0,0,0
None,None,None,None,None,None,None,None,None,None,None,0,0,0
None,None,None,None,None,None,None,None,None,None,None,None,0,0
None,None,None,None,None,None,None,None,None,None,None,None,None,0
None,None,None,None,None,None,None,None,None,None,None,None,None,None
