trip_id,stoporder,stopid,onboard,offboard,arrtime,passenger,Weekday,Route,LastStop,total (mac),on (mac),off (mac)
2,1,1_76305,15,0,3/6/18 10:51,15,1,1,0,0,0,0
2,2,1_76301,2,0,3/6/18 10:53,17,1,1,0,9,12,3
2,3,1_76306,0,2,3/6/18 11:00,15,1,1,0,12,15,12
2,11,1_76360,2,0,3/6/18 11:03,17,1,1,0,10,6,8
2,13,1_76372,0,1,3/6/18 11:04,16,1,1,0,12,4,2
2,14,1_76390,4,0,3/6/18 11:06,20,1,1,0,12,4,4
2,15,1_76420,1,1,3/6/18 11:09,20,1,1,0,13,4,3
2,16,1_76590,1,0,3/6/18 11:11,21,1,1,0,14,7,6
2,21,1_76660,4,2,3/6/18 11:16,23,1,1,0,19,10,5
2,23,1_38653,5,0,3/6/18 11:18,28,1,1,0,19,2,2
2,24,1_76700,2,6,3/6/18 11:19,24,1,1,0,18,4,5
2,25,1_76710,6,0,3/6/18 11:21,30,1,1,0,20,7,5
2,28,1_38180,2,3,3/6/18 11:24,29,1,1,0,18,7,9
2,30,1_38220,2,0,3/6/18 11:26,31,1,1,0,19,3,2
2,31,1_38240,1,1,3/6/18 11:27,31,1,1,0,20,4,3
2,32,1_38260,2,0,3/6/18 11:28,33,1,1,0,21,3,2
2,33,1_23890,3,1,3/6/18 11:29,35,1,1,0,22,4,3
2,34,1_23895,2,0,3/6/18 11:31,37,1,1,0,16,3,9
2,35,1_23905,1,1,3/6/18 11:32,37,1,1,0,12,4,8
2,36,1_23910,1,1,3/6/18 11:34,37,1,1,0,6,2,8
2,37,1_23915,3,1,3/6/18 11:36,39,1,1,0,0,2,8
3,5,1_75415,6,1,3/6/18 7:40,11,1,1,0,5,7,2
3,7,1_75410,2,5,3/6/18 7:42,8,1,1,0,6,14,13
3,9,1_25792,1,0,3/6/18 7:46,9,1,1,0,4,5,7
3,10,1_25793,3,0,3/6/18 7:47,12,1,1,0,5,1,0
3,12,1_25795,4,1,3/6/18 7:49,15,1,1,0,8,10,7
3,13,1_25797,1,0,3/6/18 7:51,16,1,1,0,8,4,4
3,14,1_25798,0,1,3/6/18 7:52,15,1,1,0,8,0,0
3,15,1_38530,0,2,3/6/18 7:53,13,1,1,0,9,3,2
3,16,1_38550,0,1,3/6/18 7:54,12,1,1,0,9,1,1
3,18,1_38590,1,0,3/6/18 7:56,13,1,1,0,8,0,1
3,19,1_38610,1,1,3/6/18 7:57,13,1,1,0,8,1,1
3,20,1_38620,1,0,3/6/18 7:58,14,1,1,0,10,4,2
3,21,1_38650,2,0,3/6/18 7:59,16,1,1,0,11,3,2
3,22,1_76720,4,2,3/6/18 8:00,18,1,1,0,12,5,4
3,24,1_76750,2,0,3/6/18 8:02,20,1,1,0,12,3,3
3,25,1_76770,2,0,3/6/18 8:03,22,1,1,0,11,4,5
3,27,1_76810,1,0,3/6/18 8:05,23,1,1,0,12,6,5
