detectionNum,distance,speedMax,distanceToEnd,distanceToStart,duration,speedAvg,date,timeEnd,MAC,timeStart,endLat,endLon,startLon,startLat,label
3,10106.29237,6.936183455,10.46295131,31.74115829,1767,5.719463708,2018-03-06,11:21:07,20:2d:07:f6:0d:67,10:51:40,47.719047,-122.2954718,47.76161,-122.1920648,1
481,10652.13895,31.34644542,54.79991485,31.74115829,2651,4.018158791,2018-03-06,11:35:54,b8:27:eb:64:2c:fc,10:51:43,47.66878383,-122.3006568,47.76161,-122.1920648,1
73,6622.839611,18.47044277,226.6639945,31.74115829,1273,5.202544864,2018-03-06,11:13:11,48:db:50:35:d4:e7,10:51:58,47.752118,-122.2800803,47.76161,-122.1920648,1
13,16131.96832,6.926942375,97.1824588,31.74115829,2602,6.199834098,2018-03-06,11:35:37,dc:ef:ca:56:c4:7d,10:52:15,47.66916567,-122.3006567,47.76161,-122.1920648,1
58,14698.16628,9.474226212,27.11112899,31.74115829,2188,6.717626269,2018-03-06,11:31:13,8c:85:90:84:50:96,10:54:45,47.68306133,-122.3007822,47.76161,-122.1920648,1
60,17423.43879,26.09527297,18.32649848,31.74115829,504,34.57031506,2018-03-06,11:03:13,c0:ce:cd:e9:79:85,10:54:49,47.75586917,-122.234504,47.76161,-122.1920648,1
9,6695.774204,33.96569769,172.2501309,31.74115829,1055,6.346705407,2018-03-06,11:12:32,0e:2a:a4:68:12:69,10:54:57,47.75239483,-122.2794798,47.76161,-122.1920648,1
6,526.3401448,66.30197935,38.00310863,31.74115829,25,21.05360579,2018-03-06,10:55:23,E8:07:BF:14:F7:AA,10:54:58,47.76164133,-122.1977655,47.76161,-122.1920648,1
6,2786.89674,17.97232839,674.4758407,31.74115829,442,6.305196245,2018-03-06,11:02:22,dc:ef:ca:ff:1a:05,10:55:00,47.75327783,-122.2266122,47.76161,-122.1920648,1
4,2752.623568,10.93084318,391.4194955,136.0761018,451,6.1033782,2018-03-06,11:02:40,74:4a:a4:eb:5e:35,10:55:09,47.75439483,-122.2300133,47.76240633,-122.1957487,1
74,14909.65278,8.542880193,273.2881317,11.97493168,2221,6.71303592,2018-03-06,11:32:20,ac:bc:32:9f:d1:2d,10:55:19,47.67866817,-122.3006498,47.76189317,-122.1972258,1
10,394.1555886,11.84876167,420.3822965,74.30803387,147,2.681330535,2018-03-06,10:57:53,86:25:64:e8:60:6b,10:55:26,47.75929117,-122.2014983,47.76142083,-122.1981237,1
172,15139.1512,36.57995094,380.2406098,173.6388746,427,35.45468664,2018-03-06,11:02:41,58:40:4E:16:31:32,10:55:34,47.75443983,-122.230147,47.7608965,-122.1992025,1
2,344.8359683,5.653048661,582.37676,311.9839324,61,5.653048661,2018-03-06,10:58:07,ee:40:8b:60:f5:52,10:57:06,47.7594015,-122.2042535,47.75950817,-122.1996445,1
3,252.0925766,6.335407268,854.1768589,608.862488,61,4.132665189,2018-03-06,10:59:10,c6:29:ed:45:f9:3b,10:58:09,47.75899383,-122.2079758,47.75941767,-122.2046645,1
8,4457.401221,12.78873858,155.7602519,725.597383,1298,3.434053329,2018-03-06,11:20:28,88:79:7e:55:a0:60,10:58:50,47.721372,-122.2940975,47.7592575,-122.2062758,1
9,1473.043795,21.21994631,188.8742159,1656.814561,88,16.73913404,2018-03-06,11:02:55,72:c2:95:57:97:bd,11:01:27,47.75526117,-122.2323983,47.75043233,-122.2141257,1
4,156.3004382,13.96902786,19.34016691,174.2127077,16,9.76877739,2018-03-06,11:03:12,00:1E:AE:2A:BF:B9,11:02:56,47.75586817,-122.2344875,47.75532467,-122.2325707,1
3,7322.397574,6.289660084,15.63467203,91.82677299,1252,5.848560363,2018-03-06,11:23:54,c4:8e:8f:fb:2f:5b,11:03:02,47.70865167,-122.3013812,47.75566533,-122.2335515,1
