detectionNum,distance,speedMax,distanceToEnd,distanceToStart,duration,speedAvg,date,timeEnd,MAC,timeStart,endLat,endLon,startLon,startLat,label,avg_RSSI,max_RSSI
3,10106.3,6.93618,10.463,31.7412,1767,5.71946,3/6/18,11:21:07,20:2d:07:f6:0d:67,10:51:40,47.719,-122.295,47.7616,-122.192,1,-65.6667,-47
481,10652.1,31.3464,54.7999,31.7412,2651,4.01816,3/6/18,11:35:54,b8:27:eb:64:2c:fc,10:51:43,47.6688,-122.301,47.7616,-122.192,1,-22.6674,-19
73,6622.84,18.4704,226.664,31.7412,1273,5.20254,3/6/18,11:13:11,48:db:50:35:d4:e7,10:51:58,47.7521,-122.28,47.7616,-122.192,1,-47.8493,-35
13,16132,6.92694,97.1825,31.7412,2602,6.19983,3/6/18,11:35:37,dc:ef:ca:56:c4:7d,10:52:15,47.6692,-122.301,47.7616,-122.192,1,-65.6154,-59
58,14698.2,9.47423,27.1111,31.7412,2188,6.71763,3/6/18,11:31:13,8c:85:90:84:50:96,10:54:45,47.6831,-122.301,47.7616,-122.192,1,-59,-51
60,17423.4,26.0953,18.3265,31.7412,504,34.5703,3/6/18,11:03:13,c0:ce:cd:e9:79:85,10:54:49,47.7559,-122.235,47.7616,-122.192,1,-41.6,-33
9,6695.77,33.9657,172.25,31.7412,1055,6.34671,3/6/18,11:12:32,0e:2a:a4:68:12:69,10:54:57,47.7524,-122.279,47.7616,-122.192,1,-57.4444,-53
6,526.34,66.302,38.0031,31.7412,25,21.0536,3/6/18,10:55:23,E8:07:BF:14:F7:AA,10:54:58,47.7616,-122.198,47.7616,-122.192,1,0,0
6,2786.9,17.9723,674.476,31.7412,442,6.3052,3/6/18,11:02:22,dc:ef:ca:ff:1a:05,10:55:00,47.7533,-122.227,47.7616,-122.192,1,-56.6667,-49
4,2752.62,10.9308,391.419,136.076,451,6.10338,3/6/18,11:02:40,74:4a:a4:eb:5e:35,10:55:09,47.7544,-122.23,47.7624,-122.196,1,-77.5,-75
74,14909.7,8.54288,273.288,11.9749,2221,6.71304,3/6/18,11:32:20,ac:bc:32:9f:d1:2d,10:55:19,47.6787,-122.301,47.7619,-122.197,1,-65.9189,-55
10,394.156,11.8488,420.382,74.308,147,2.68133,3/6/18,10:57:53,86:25:64:e8:60:6b,10:55:26,47.7593,-122.201,47.7614,-122.198,1,-56,-51
172,15139.2,36.58,380.241,173.639,427,35.4547,3/6/18,11:02:41,58:40:4E:16:31:32,10:55:34,47.7544,-122.23,47.7609,-122.199,1,0,0
2,344.836,5.65305,582.377,311.984,61,5.65305,3/6/18,10:58:07,ee:40:8b:60:f5:52,10:57:06,47.7594,-122.204,47.7595,-122.2,1,-43,-43
3,252.093,6.33541,854.177,608.862,61,4.13267,3/6/18,10:59:10,c6:29:ed:45:f9:3b,10:58:09,47.759,-122.208,47.7594,-122.205,1,-45,-43
8,4457.4,12.7887,155.76,725.597,1298,3.43405,3/6/18,11:20:28,88:79:7e:55:a0:60,10:58:50,47.7214,-122.294,47.7593,-122.206,1,-69.25,-63
9,1473.04,21.2199,188.874,1656.81,88,16.7391,3/6/18,11:02:55,72:c2:95:57:97:bd,11:01:27,47.7553,-122.232,47.7504,-122.214,1,-42.3333,-41
4,156.3,13.969,19.3402,174.213,16,9.76878,3/6/18,11:03:12,00:1E:AE:2A:BF:B9,11:02:56,47.7559,-122.234,47.7553,-122.233,1,0,0
3,7322.4,6.28966,15.6347,91.8268,1252,5.84856,3/6/18,11:23:54,c4:8e:8f:fb:2f:5b,11:03:02,47.7087,-122.301,47.7557,-122.234,1,-61.6667,-57
3,540.303,8.95209,2.18938,19.3402,62,8.71456,3/6/18,11:04:14,0a:8e:4b:c1:49:aa,11:03:12,47.7571,-122.241,47.7559,-122.234,1,-50.3333,-47
18,12538.2,11.3426,75.4422,245.877,1885,6.65156,3/6/18,11:35:18,8c:f5:a3:87:5e:8e,11:03:53,47.6712,-122.301,47.7565,-122.238,1,-62.1111,-53
4,1155.76,5.50563,342.459,142.35,240,4.81566,3/6/18,11:09:08,8a:48:ae:aa:ed:f7,11:05:08,47.7585,-122.259,47.7573,-122.243,1,-59.5,-57
6,305.729,13.2099,155.336,151.577,26,11.7588,3/6/18,11:06:20,E9:08:EF:19:00:06,11:05:54,47.7581,-122.247,47.7574,-122.243,1,0,0
20,11121.6,9.30313,19.0696,17.1063,1589,6.99911,3/6/18,11:33:20,02:8d:61:f2:fe:31,11:06:51,47.676,-122.301,47.7584,-122.249,1,-62.4,-53
31,310.325,14.2204,296.342,9.78846,100,3.10325,3/6/18,11:08:44,E4:04:39:24:06:D2,11:07:04,47.7587,-122.253,47.7584,-122.249,1,0,0
6,320.917,17.5415,13.0897,310.096,26,12.343,3/6/18,11:09:36,00:16:74:4F:50:C0,11:09:10,47.7583,-122.263,47.7585,-122.259,1,0,0
3,8533.7,6.98911,123.315,310.096,1221,6.98911,3/6/18,11:29:31,7c:7a:91:d4:46:80,11:09:10,47.6872,-122.301,47.7585,-122.259,1,-83.6667,-77
3,570.001,9.50002,453.947,117.001,61,9.34428,3/6/18,11:10:24,96:f7:d2:13:ee:b5,11:09:23,47.7578,-122.269,47.7584,-122.262,1,-45.6667,-41
15,6576.42,15.179,54.2232,22.0596,817,8.04948,3/6/18,11:23:28,10:f1:f2:36:67:fd,11:09:51,47.709,-122.301,47.7583,-122.263,1,-69.8,-67
9,9566.71,9.26468,2.9366,609.045,1352,7.07597,3/6/18,11:33:07,d0:13:fd:24:52:bb,11:10:35,47.6762,-122.301,47.7568,-122.271,1,-61.2222,-55
3,561.742,5.73149,297.276,264.513,121,4.6425,3/6/18,11:13:25,16:c9:c5:93:f0:22,11:11:24,47.7518,-122.281,47.7544,-122.274,1,-50.3333,-41
70,10248.5,15.4152,54.7999,237.656,1462,7.00994,3/6/18,11:35:52,b8:86:87:96:05:51,11:11:30,47.6688,-122.301,47.7542,-122.275,1,-50.9143,-41
2,205.199,3.36392,227.46,22.2702,61,3.36392,3/6/18,11:13:17,ac:5f:3e:37:e9:0e,11:12:16,47.7521,-122.28,47.7531,-122.278,1,-68,-67
5,144.431,11.8143,231.308,89.8914,21,6.87765,3/6/18,11:12:46,10:4E:89:0A:4B:A1,11:12:25,47.7521,-122.28,47.7528,-122.279,1,0,0
4,374.349,21.4011,564.542,193.335,68,5.50513,3/6/18,11:13:42,16:03:47:20:2b:53,11:12:34,47.7501,-122.284,47.7523,-122.28,1,-60,-57
5,895.703,14.4303,223.111,1094.5,63,14.2175,3/6/18,11:15:45,42:95:53:71:f9:3d,11:14:42,47.7352,-122.293,47.7423,-122.287,1,-63,-61
7,287.183,18.0539,179.465,451.235,30,9.57277,3/6/18,11:15:56,A0:14:3D:45:27:7C,11:15:26,47.7348,-122.292,47.7372,-122.292,1,0,0
3,409.2,6.60001,28.0841,437.185,63,6.49524,3/6/18,11:16:30,46:25:51:07:2b:c5,11:15:27,47.7334,-122.292,47.7371,-122.292,1,-53,-41
28,7430.84,14.3899,57.4747,28.0841,1171,6.34572,3/6/18,11:35:59,48:88:ca:42:c1:f9,11:16:28,47.6688,-122.301,47.7334,-122.292,1,-75.8571,-69
57,7142.38,24.2198,63.3909,28.0841,1126,6.34314,3/6/18,11:35:17,a8:a6:68:25:eb:85,11:16:31,47.6713,-122.301,47.7334,-122.292,1,-69.5965,-63
3,1201.74,9.27743,17.877,18.8915,180,6.67632,3/6/18,11:19:45,be:ab:0e:40:23:08,11:16:45,47.7226,-122.294,47.7333,-122.292,1,-59.6667,-57
60,7401.44,15.8431,54.7999,12.2308,1147,6.45287,3/6/18,11:35:53,24:4b:81:b6:5f:42,11:16:46,47.6688,-122.301,47.7332,-122.292,1,-61.0667,-53
5,284.807,16.6911,497.555,212.782,21,13.5623,3/6/18,11:17:23,0C:A6:94:BB:A3:12,11:17:02,47.7287,-122.292,47.7312,-122.292,1,0,0
4,1041.51,8.73068,34.2365,538.161,201,5.18167,3/6/18,11:20:55,e6:8a:e1:7d:19:cf,11:17:34,47.7192,-122.295,47.7283,-122.292,1,-42,-41
6,329.573,17.277,276.132,557.839,26,12.6759,3/6/18,11:19:06,00:04:3E:90:DD:46,11:18:40,47.7252,-122.292,47.7281,-122.292,1,0,0
91,260.771,15.2942,303.934,560.58,18,14.4873,3/6/18,11:19:05,6c:40:08:93:7a:56,11:18:47,47.7254,-122.292,47.7278,-122.292,1,-52.4505,-45
4,535.811,8.78379,17.877,506.545,62,8.64212,3/6/18,11:19:53,06:7b:f6:2b:93:ec,11:18:51,47.7226,-122.294,47.7273,-122.292,1,-50.5,-41
5,10.8702,2.03529,17.877,7.93857,21,0.517627,3/6/18,11:19:52,A0:6A:44:02:BD:FB,11:19:31,47.7226,-122.294,47.7226,-122.293,1,0,0
17,6188.56,8.45574,53.4757,11.3527,976,6.34074,3/6/18,11:35:48,00:fc:8b:81:ce:2c,11:19:32,47.6688,-122.301,47.7226,-122.294,1,-77.4706,-71
5,303.336,18.4532,100.209,155.76,20,15.1668,3/6/18,11:20:48,A8:6B:AD:0A:2A:10,11:20:28,47.7198,-122.295,47.7214,-122.294,1,0,0
28,5047.32,14.2114,11.9103,58.2234,784,6.43791,3/6/18,11:33:56,04:1b:6d:a1:f4:76,11:20:52,47.6761,-122.301,47.7194,-122.295,1,-48.9286,-41
2,120.81,1.94855,79.7942,41.2664,62,1.94855,3/6/18,11:21:55,42:ab:ef:82:23:cf,11:20:53,47.7183,-122.296,47.7193,-122.295,1,-45,-41
2,61.3011,0.00508597,53.1563,10.9237,39,1.57182,3/6/18,11:21:52,9c:a3:a9:30:bf:9a,11:21:13,47.7186,-122.296,47.7191,-122.295,1,-86,-83
24,5367.49,13.4032,87.9062,10.7361,797,6.73461,3/6/18,11:34:42,ec:9b:f3:fa:3d:56,11:21:25,47.6727,-122.301,47.7191,-122.296,1,-59.3333,-45
2,915.915,10.065,15.6347,312.176,91,10.065,3/6/18,11:23:46,d0:04:01:16:4b:90,11:22:15,47.7087,-122.301,47.7164,-122.297,1,-77,-73
5,289.312,18.5265,514.208,440.879,21,13.7767,3/6/18,11:22:47,28:C6:3F:6F:02:C4,11:22:26,47.7129,-122.299,47.7153,-122.298,1,0,0
2,742.868,7.28302,15.6347,485.543,102,7.28302,3/6/18,11:24:13,92:bc:21:c8:59:18,11:22:31,47.7087,-122.301,47.715,-122.298,1,-59,-59
3,28.1566,0.00227989,15.9985,14.9962,63,0.44693,3/6/18,11:24:43,d4:6a:6a:83:72:d7,11:23:40,47.7087,-122.301,47.7086,-122.301,1,-86.3333,-83
3,2825.67,6.72778,49.2478,15.6347,420,6.72778,3/6/18,11:30:59,72:72:b7:ee:fb:1f,11:23:59,47.6833,-122.301,47.7087,-122.301,1,-60.3333,-57
2,1916.61,7.85497,20.2308,15.9985,244,7.85497,3/6/18,11:28:40,e8:50:8b:a1:1e:99,11:24:36,47.6914,-122.302,47.7087,-122.301,1,-75,-73
2,133.217,12.1106,139.66,13.0368,11,12.1106,3/6/18,11:25:01,f6:be:a2:d5:a1:27,11:24:50,47.7073,-122.302,47.7084,-122.301,1,-54,-45
2,628.998,10.3114,14.6569,316.939,61,10.3114,3/6/18,11:26:11,8a:a6:29:96:ea:56,11:25:10,47.7002,-122.303,47.7057,-122.302,1,-51,-45
3,33.8265,8.45663,87.7965,54.1825,4,8.45663,3/6/18,11:26:33,4a:47:02:67:00:b5,11:26:29,47.6994,-122.304,47.6997,-122.304,1,-67.6667,-67
