detectionNum,distance,speedMax,distanceToEnd,distanceToStart,duration,speedAvg,date,timeEnd,MAC,timeStart,avrRSSI,maxRSSI,source,label
1.0,0.0,0.0,143.509,143.509,0.0,0.0,3/6/18,10:51:18,92:10:2a:10:fb:a6,10:51:18,-43,-43,wifi,0
7.0,0.0,0.0,143.509,143.509,32.0,0.0,3/6/18,10:51:51,bc:9f:ef:d7:ab:6d,10:51:19,-60.4286,-55,wifi,0
1.0,0.0,0.0,143.509,143.509,0.0,0.0,3/6/18,10:51:34,2e:f0:9f:37:d8:08,10:51:34,-61,-61,wifi,0
3.0,15058.6,9.57248,10.4633,143.509,1767.0,8.52211,3/6/18,11:21:07,20:2d:07:f6:0d:67,10:51:40,-65.6667,-47,wifi,1
481.0,22854.2,9.57248,54.7785,143.509,2651.0,8.62096,3/6/18,11:35:54,b8:27:eb:64:2c:fc,10:51:43,-22.6674,-19,wifi,1
1.0,0.0,0.0,143.509,143.509,0.0,0.0,3/6/18,10:51:46,06:7d:25:fd:60:2c,10:51:46,-43,-43,wifi,0
1.0,0.0,0.0,143.509,143.509,0.0,0.0,3/6/18,10:51:50,86:6b:f0:c7:e9:c1,10:51:50,-61,-61,wifi,0
2.0,0.0,0.0,143.509,143.509,0.0,0.0,3/6/18,10:51:55,70:70:0d:cf:68:21,10:51:55,-65,-63,wifi,0
73.0,9697.8,9.57248,227.064,143.509,1273.0,7.61807,3/6/18,11:13:11,48:db:50:35:d4:e7,10:51:58,-47.8493,-35,wifi,1
1.0,0.0,0.0,143.509,143.509,0.0,0.0,3/6/18,10:51:58,3e:57:c7:f1:d7:88,10:51:58,-61,-61,wifi,0
1.0,0.0,0.0,143.509,143.509,0.0,0.0,3/6/18,10:52:02,56:67:95:86:b5:91,10:52:02,-49,-49,wifi,0
1.0,0.0,0.0,143.509,143.509,0.0,0.0,3/6/18,10:52:08,aa:34:51:f7:43:fd,10:52:08,-61,-61,wifi,0
2.0,0.0,0.0,143.509,143.509,0.0,0.0,3/6/18,10:52:11,3a:c2:9e:ac:f3:6b,10:52:11,-50,-47,wifi,0
1.0,0.0,0.0,143.509,143.509,0.0,0.0,3/6/18,10:52:15,32:d6:da:6b:aa:2f,10:52:15,-61,-61,wifi,0
13.0,22787.0,9.57248,97.143,143.509,2602.0,8.7575,3/6/18,11:35:37,dc:ef:ca:56:c4:7d,10:52:15,-65.6154,-59,wifi,1
1.0,0.0,0.0,143.509,143.509,0.0,0.0,3/6/18,10:52:19,1a:07:c9:38:9d:3b,10:52:19,-61,-61,wifi,0
1.0,0.0,0.0,143.509,143.509,0.0,0.0,3/6/18,10:52:26,52:f8:ac:bb:e3:cb,10:52:26,-49,-49,wifi,0
4.0,0.0,0.0,143.509,143.509,6.0,0.0,3/6/18,10:52:34,00:56:cd:74:d9:60,10:52:28,-65.5,-65,wifi,0
5.0,0.0,0.0,143.509,143.509,20.0,0.0,3/6/18,10:52:49,54:8C:A0:DF:E0:12,10:52:29,0,0,bluetooth,0
2.0,0.0,0.0,143.509,143.509,0.0,0.0,3/6/18,10:52:33,e2:bd:06:2f:91:6c,10:52:33,-61,-61,wifi,0
1.0,0.0,0.0,143.509,143.509,0.0,0.0,3/6/18,10:52:37,b6:c8:70:d2:2e:4e,10:52:37,-63,-63,wifi,0
4.0,0.0,0.0,143.509,143.509,0.0,0.0,3/6/18,10:52:40,52:6d:e9:ad:be:f6,10:52:40,-68.5,-67,wifi,0
1.0,0.0,0.0,143.509,143.509,0.0,0.0,3/6/18,10:52:41,a8:96:75:d7:3f:15,10:52:41,-79,-79,wifi,0
1.0,0.0,0.0,143.509,143.509,0.0,0.0,3/6/18,10:52:45,6a:d1:0b:a8:3e:18,10:52:45,-67,-67,wifi,0
1.0,0.0,0.0,143.509,143.509,0.0,0.0,3/6/18,10:52:46,72:4e:1b:46:ec:03,10:52:46,-45,-45,wifi,0
1.0,0.0,0.0,143.509,143.509,0.0,0.0,3/6/18,10:52:47,02:9a:4b:08:ad:b1,10:52:47,-45,-45,wifi,0
2.0,0.0,0.0,143.509,143.509,0.0,0.0,3/6/18,10:52:53,96:3c:e9:54:d7:e8,10:52:53,-61,-61,wifi,0
1.0,0.0,0.0,143.509,143.509,0.0,0.0,3/6/18,10:53:05,8a:ed:42:53:54:42,10:53:05,-63,-63,wifi,0
1.0,0.0,0.0,143.509,143.509,0.0,0.0,3/6/18,10:53:07,26:c4:d0:33:57:46,10:53:07,-65,-65,wifi,0
1.0,0.0,0.0,143.509,143.509,0.0,0.0,3/6/18,10:53:08,8a:7f:27:0b:e9:0b,10:53:08,-63,-63,wifi,0
2.0,0.0,0.0,143.509,143.509,0.0,0.0,3/6/18,10:53:16,16:67:1b:1d:d5:3f,10:53:16,-62,-61,wifi,0
1.0,0.0,0.0,143.509,143.509,0.0,0.0,3/6/18,10:53:17,26:48:7f:43:af:20,10:53:17,-49,-49,wifi,0
1.0,0.0,0.0,143.509,143.509,0.0,0.0,3/6/18,10:53:18,3e:9c:e9:b7:77:72,10:53:18,-51,-51,wifi,0
1.0,0.0,0.0,143.509,143.509,0.0,0.0,3/6/18,10:53:22,46:cf:d4:7e:0b:d8,10:53:22,-67,-67,wifi,0
2.0,0.0,0.0,143.509,143.509,0.0,0.0,3/6/18,10:53:23,b2:c1:ec:d0:a3:5c,10:53:23,-61,-61,wifi,0
1.0,0.0,0.0,143.509,143.509,0.0,0.0,3/6/18,10:53:24,12:fd:1c:12:cd:72,10:53:24,-57,-57,wifi,0
1.0,0.0,0.0,143.509,143.509,0.0,0.0,3/6/18,10:53:26,8a:ad:45:df:ae:e8,10:53:26,-69,-69,wifi,0
1.0,0.0,0.0,143.509,143.509,0.0,0.0,3/6/18,10:53:37,02:be:f2:fd:c2:f3,10:53:37,-55,-55,wifi,0
1.0,0.0,0.0,143.509,143.509,0.0,0.0,3/6/18,10:53:41,3e:56:07:ab:8c:b7,10:53:41,-53,-53,wifi,0
1.0,0.0,0.0,143.509,143.509,0.0,0.0,3/6/18,10:53:47,6e:97:24:6a:a1:0a,10:53:47,-57,-57,wifi,0
1.0,0.0,0.0,143.509,143.509,0.0,0.0,3/6/18,10:53:51,16:75:9e:43:2d:17,10:53:51,-69,-69,wifi,0
1.0,0.0,0.0,143.509,143.509,0.0,0.0,3/6/18,10:53:51,a8:96:75:0a:85:a5,10:53:51,-87,-87,wifi,0
2.0,0.0,0.0,143.509,143.509,54.0,0.0,3/6/18,10:54:50,e4:a4:71:86:bd:e3,10:53:56,-56,-51,wifi,0
1.0,0.0,0.0,143.509,143.509,0.0,0.0,3/6/18,10:53:58,da:a1:19:53:99:16,10:53:58,-83,-83,wifi,0
2.0,0.0,0.0,143.509,143.509,0.0,0.0,3/6/18,10:54:12,46:ae:59:8b:8b:d2,10:54:12,-57,-49,wifi,0
2.0,0.0,0.0,143.509,143.509,0.0,0.0,3/6/18,10:54:14,be:13:97:13:80:e3,10:54:14,-61,-61,wifi,0
2.0,0.0,0.0,143.509,143.509,0.0,0.0,3/6/18,10:54:15,0a:30:d6:69:d2:ab,10:54:15,-85,-85,wifi,0
2.0,0.0,0.0,143.509,143.509,0.0,0.0,3/6/18,10:54:21,ba:3c:8f:55:aa:ae,10:54:21,-62,-61,wifi,0
1.0,0.0,0.0,143.509,143.509,0.0,0.0,3/6/18,10:54:23,ae:eb:38:93:10:ae,10:54:23,-63,-63,wifi,0
4.0,0.0,0.0,143.509,143.509,0.0,0.0,3/6/18,10:54:23,a0:99:9b:07:ff:cb,10:54:23,-72,-71,wifi,0
1.0,0.0,0.0,143.509,143.509,0.0,0.0,3/6/18,10:54:25,74:c2:46:7f:8a:19,10:54:25,-85,-85,wifi,0
58.0,20684.3,9.57248,27.1036,143.509,2188.0,9.45352,3/6/18,11:31:13,8c:85:90:84:50:96,10:54:45,-59,-51,wifi,1
1.0,0.0,0.0,143.509,143.509,0.0,0.0,3/6/18,10:54:47,fe:f4:ec:d6:85:7f,10:54:47,-63,-63,wifi,0
60.0,5238.49,9.57248,18.3507,143.509,504.0,10.3938,3/6/18,11:03:13,c0:ce:cd:e9:79:85,10:54:49,-41.6,-33,wifi,0
