count,date,end_lat,end_lon,end_time,mac,start_lat,start_lon,start_time,trip_id,distance,max_speed,least_distance_end,least_distance_start,duration,avg_speed,avg_RSSI,max_RSSI,source
1,3/6/18,47.76304,-122.1948822,10:51:18,92:10:2a:10:fb:a6,47.76304,-122.1948822,10:51:18,2,0,0,143.509,143.509,0,0,-43,-43,wifi
7,3/6/18,47.76304,-122.1948822,10:51:51,bc:9f:ef:d7:ab:6d,47.76304,-122.1948822,10:51:19,2,0,0,143.509,143.509,32,0,-60.4286,-55,wifi
1,3/6/18,47.76304,-122.1948822,10:51:34,2e:f0:9f:37:d8:08,47.76304,-122.1948822,10:51:34,2,0,0,143.509,143.509,0,0,-61,-61,wifi
3,3/6/18,47.719047,-122.2954718,11:21:07,20:2d:07:f6:0d:67,47.76304,-122.1948822,10:51:40,2,15058.6,9.57248,10.4633,143.509,1767,8.52211,-65.6667,-47,wifi
481,3/6/18,47.66878383,-122.3006568,11:35:54,b8:27:eb:64:2c:fc,47.76304,-122.1948822,10:51:43,2,22854.2,9.57248,54.7785,143.509,2651,8.62096,-22.6674,-19,wifi
1,3/6/18,47.76304,-122.1948822,10:51:46,06:7d:25:fd:60:2c,47.76304,-122.1948822,10:51:46,2,0,0,143.509,143.509,0,0,-43,-43,wifi
1,3/6/18,47.76304,-122.1948822,10:51:50,86:6b:f0:c7:e9:c1,47.76304,-122.1948822,10:51:50,2,0,0,143.509,143.509,0,0,-61,-61,wifi
2,3/6/18,47.76304,-122.1948822,10:51:55,70:70:0d:cf:68:21,47.76304,-122.1948822,10:51:55,2,0,0,143.509,143.509,0,0,-65,-63,wifi
73,3/6/18,47.752118,-122.2800803,11:13:11,48:db:50:35:d4:e7,47.76304,-122.1948822,10:51:58,2,9697.8,9.57248,227.064,143.509,1273,7.61807,-47.8493,-35,wifi
1,3/6/18,47.76304,-122.1948822,10:51:58,3e:57:c7:f1:d7:88,47.76304,-122.1948822,10:51:58,2,0,0,143.509,143.509,0,0,-61,-61,wifi
1,3/6/18,47.76304,-122.1948822,10:52:02,56:67:95:86:b5:91,47.76304,-122.1948822,10:52:02,2,0,0,143.509,143.509,0,0,-49,-49,wifi
1,3/6/18,47.76304,-122.1948822,10:52:08,aa:34:51:f7:43:fd,47.76304,-122.1948822,10:52:08,2,0,0,143.509,143.509,0,0,-61,-61,wifi
2,3/6/18,47.76304,-122.1948822,10:52:11,3a:c2:9e:ac:f3:6b,47.76304,-122.1948822,10:52:11,2,0,0,143.509,143.509,0,0,-50,-47,wifi
1,3/6/18,47.76304,-122.1948822,10:52:15,32:d6:da:6b:aa:2f,47.76304,-122.1948822,10:52:15,2,0,0,143.509,143.509,0,0,-61,-61,wifi
