ts;sensorid;series;gpslat;gpslon;gpsalt;speed;climb;track;gpsmode
2018-03-06 07:40:32;bus_m1;43;47.652790000;-122.305610167;55.96;6.894;;43.50;3
2018-03-06 07:40:32;bus_m1;43;47.652790000;-122.305610167;55.96;6.894;;43.50;3
2018-03-06 07:40:33;bus_m1;43;47.652811333;-122.305572500;55.97;6.739;;42.90;3
2018-03-06 07:40:33;bus_m1;43;47.652811333;-122.305572500;55.97;6.739;;42.90;3
2018-03-06 07:40:34;bus_m1;43;47.652856500;-122.305506833;55.98;6.636;;40.10;3
2018-03-06 07:40:34;bus_m1;43;47.652856500;-122.305506833;55.98;6.636;;40.10;3
2018-03-06 07:40:35;bus_m1;43;47.652902667;-122.305442000;55.82;6.688;;39.00;3
2018-03-06 07:40:35;bus_m1;43;47.653380167;-122.305481000;74.29;7.202;;27.80;3
2018-03-06 07:40:36;bus_m1;43;47.653380167;-122.305481000;74.29;7.202;;27.80;3
2018-03-06 07:40:36;bus_m1;43;47.653462833;-122.305423167;76.52;6.739;;28.10;3
2018-03-06 07:40:37;bus_m1;43;47.653462833;-122.305423167;76.52;6.739;;28.10;3
2018-03-06 07:40:37;bus_m1;43;47.653542333;-122.305377500;79.79;6.379;;25.70;3
2018-03-06 07:40:38;bus_m1;43;47.653542333;-122.305377500;79.79;6.379;;25.70;3
2018-03-06 07:40:38;bus_m1;43;47.653649167;-122.305351000;85.76;6.379;;23.30;3
2018-03-06 07:40:39;bus_m1;43;47.653649167;-122.305351000;85.76;6.379;;23.30;3
2018-03-06 07:40:39;bus_m1;43;47.653784500;-122.305333333;93.07;6.379;;21.50;3
2018-03-06 07:40:40;bus_m1;43;47.653784500;-122.305333333;93.07;6.379;;21.50;3
2018-03-06 07:40:40;bus_m1;43;47.653892833;-122.305308333;98.99;6.585;;20.10;3
2018-03-06 07:40:41;bus_m1;43;47.653892833;-122.305308333;98.99;6.585;;20.10;3
2018-03-06 07:40:41;bus_m1;43;47.653967500;-122.305275000;102.44;6.328;;20.60;3
2018-03-06 07:40:42;bus_m1;43;47.653967500;-122.305275000;102.44;6.328;;20.60;3
2018-03-06 07:40:42;bus_m1;43;47.654009500;-122.305258833;106.10;6.019;;18.30;3
2018-03-06 07:40:43;bus_m1;43;47.654009500;-122.305258833;106.10;6.019;;18.30;3
2018-03-06 07:40:43;bus_m1;43;47.654042500;-122.305250667;109.09;4.887;;15.70;3
2018-03-06 07:40:44;bus_m1;43;47.654042500;-122.305250667;109.09;4.887;;15.70;3
2018-03-06 07:40:44;bus_m1;43;47.654065167;-122.305240500;111.35;3.344;;15.10;3
2018-03-06 07:40:45;bus_m1;43;47.654065167;-122.305240500;111.35;3.344;;15.10;3
2018-03-06 07:40:45;bus_m1;43;47.654078000;-122.305232000;113.04;2.315;;16.10;3
2018-03-06 07:40:46;bus_m1;43;47.654078000;-122.305232000;113.04;2.315;;16.10;3
2018-03-06 07:40:46;bus_m1;43;47.654081167;-122.305228833;114.68;1.492;;21.40;3
2018-03-06 07:40:47;bus_m1;43;47.654081167;-122.305228833;114.68;1.492;;21.40;3
2018-03-06 07:40:48;bus_m1;43;47.654079333;-122.305225333;116.17;1.132;;14.10;3
2018-03-06 07:40:48;bus_m1;43;47.654079333;-122.305225333;116.17;1.132;;14.10;3
2018-03-06 07:40:49;bus_m1;43;47.654081833;-122.305222333;116.93;1.183;;9.50;3
2018-03-06 07:40:49;bus_m1;43;47.654081833;-122.305222333;116.93;1.183;;9.50;3
2018-03-06 07:40:50;bus_m1;43;47.654091167;-122.305216000;117.74;1.955;;7.50;3
2018-03-06 07:40:50;bus_m1;43;47.654091167;-122.305216000;117.74;1.955;;7.50;3
2018-03-06 07:40:51;bus_m1;43;47.654103167;-122.305208167;118.52;1.903;;10.40;3
2018-03-06 07:40:51;bus_m1;43;47.654119333;-122.305201667;119.34;2.315;;6.50;3
2018-03-06 07:40:52;bus_m1;43;47.654119333;-122.305201667;119.34;2.315;;6.50;3
2018-03-06 07:40:52;bus_m1;43;47.654139667;-122.305194833;119.94;2.572;;359.80;3
2018-03-06 07:40:53;bus_m1;43;47.654139667;-122.305194833;119.94;2.572;;359.80;3
2018-03-06 07:40:53;bus_m1;43;47.654166667;-122.305193500;120.49;3.344;;357.20;3
2018-03-06 07:40:54;bus_m1;43;47.654166667;-122.305193500;120.49;3.344;;357.20;3
2018-03-06 07:40:54;bus_m1;43;47.654204000;-122.305194167;121.03;4.476;;356.40;3
2018-03-06 07:40:55;bus_m1;43;47.654204000;-122.305194167;121.03;4.476;;356.40;3
2018-03-06 07:40:55;bus_m1;43;47.654248833;-122.305189500;121.44;5.093;;0.90;3
2018-03-06 07:40:56;bus_m1;43;47.654248833;-122.305189500;121.44;5.093;;0.90;3
2018-03-06 07:40:56;bus_m1;43;47.654302000;-122.305189167;121.78;5.813;;355.80;3
2018-03-06 07:40:57;bus_m1;43;47.654302000;-122.305189167;121.78;5.813;;355.80;3
2018-03-06 07:40:57;bus_m1;43;47.654360500;-122.305192667;122.06;6.585;;354.30;3
2018-03-06 07:40:58;bus_m1;43;47.654360500;-122.305192667;122.06;6.585;;354.30;3
2018-03-06 07:40:58;bus_m1;43;47.654423333;-122.305198333;122.28;6.739;;353.10;3
