ts;sensorid;series;mac;devicetype;label;intensity
2018-03-06 07:40:20.986266;bus_m1;43;da:a1:19:01:fe:f1;wifi;mobile;-67
2018-03-06 07:40:26.383881;bus_m1;43;da:a1:19:c5:f6:aa;wifi;mobile;-73
2018-03-06 07:40:26.408934;bus_m1;43;da:a1:19:c5:f6:aa;wifi;mobile;-73
2018-03-06 07:40:29.190757;bus_m1;43;f4:31:c3:22:82:46;wifi;mobile;-53
2018-03-06 07:40:30.111496;bus_m1;43;bc:9f:ef:e1:33:15;wifi;mobile;-49
2018-03-06 07:40:30.121576;bus_m1;43;bc:9f:ef:e1:33:15;wifi;mobile;-47
2018-03-06 07:40:30.156166;bus_m1;43;9c:f4:8e:a4:60:b7;wifi;mobile;-63
2018-03-06 07:40:32.883259;bus_m1;43;00:80:92:c9:63:3d;wifi;mobile;-89
2018-03-06 07:40:35.519457;bus_m1;43;b8:27:eb:64:2c:fc;wifi;mobile;-27
2018-03-06 07:40:35.53994;bus_m1;43;b8:27:eb:64:2c:fc;wifi;mobile;-27
2018-03-06 07:40:43.796844;bus_m1;43;00:fc:8b:04:71:12;wifi;mobile;-59
2018-03-06 07:40:45.589179;bus_m1;43;f4:31:c3:7a:95:9d;wifi;mobile;-79
2018-03-06 07:40:51.516964;bus_m1;43;f4:5c:89:ba:3e:1f;wifi;mobile;-63
2018-03-06 07:40:51.534201;bus_m1;43;f4:5c:89:ba:3e:1f;wifi;mobile;-57
2018-03-06 07:40:51.54055;bus_m1;43;f4:5c:89:ba:3e:1f;wifi;mobile;-57
2018-03-06 07:40:51.544109;bus_m1;43;f4:5c:89:ba:3e:1f;wifi;mobile;-57
2018-03-06 07:40:51.555962;bus_m1;43;f4:5c:89:ba:3e:1f;wifi;mobile;-61
2018-03-06 07:40:51.56384;bus_m1;43;f4:5c:89:ba:3e:1f;wifi;mobile;-61
2018-03-06 07:40:51.564474;bus_m1;43;f4:5c:89:ba:3e:1f;wifi;mobile;-55
