,Alighting Stops,1,3,4,5,6,11,14,17,18,19,22,28,Total boarding MAC,GT Boading
Boarding Stop,,,,,,,,,,,,,,,
1,,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3,,,0,1,0,0,0,0,0,0,0,0,1,2,1
4,,,,0,0,0,0,0,0,0,0,0,0,0,2
5,,,,,0,2,0,0,0,0,0,0,0,2,2
6,,,,,,0,0,0,0,1,0,0,0,1,1
11,,,,,,,0,0,0,0,0,0,0,0,0
14,,,,,,,,0,0,0,0,0,0,0,4
17,,,,,,,,,0,0,0,0,0,0,0
18,,,,,,,,,,0,3,0,1,4,9
19,,,,,,,,,,,0,6,0,6,1
22,,,,,,,,,,,,0,5,5,3
28,,,,,,,,,,,,,0,0,0
Total Alighting MAC,,0,0,1,0,2,0,0,0,1,3,6,7,20,
GT Alighting,,0,0,0,0,0,2,0,1,2,0,1,1,,
