date,end_time,mac,start_time,passenger
2018-02-26,11:10:03,b8:27:eb:64:2c:fc,11:01:32,0
2018-02-26,11:02:11,c4:9d:ed:22:d3:c8,11:02:11,0
2018-02-26,11:08:08,48:db:50:35:d4:e7,11:02:31,0
2018-02-26,11:09:19,d8:c4:6a:01:39:44,11:03:23,0
2018-02-26,11:04:29,D0:FC:CC:12:9E:F1,11:04:03,0
2018-02-26,11:04:07,88:51:fb:24:1d:5e,11:04:07,0
2018-02-26,11:04:18,68:c4:4d:49:47:12,11:04:18,0
2018-02-26,11:04:19,30:8c:fb:bb:19:b1,11:04:19,0
2018-02-26,11:08:16,4c:66:41:65:8a:5c,11:04:30,0
2018-02-26,11:04:30,7c:6d:62:bf:b8:0d,11:04:30,0
2018-02-26,11:05:24,b4:8b:19:bc:81:89,11:04:44,0
2018-02-26,11:05:29,00:1e:8f:73:22:df,11:05:09,0
2018-02-26,11:05:11,f4:5c:89:bb:27:41,11:05:11,0
2018-02-26,11:06:01,58:2D:6C:94:62:61,11:05:36,0
2018-02-26,11:05:47,06:6a:6d:a6:0b:a5,11:05:47,0
2018-02-26,11:06:04,00:24:81:b8:45:92,11:05:54,0
2018-02-26,11:06:17,36:33:19:cd:d8:aa,11:06:17,0
2018-02-26,11:06:53,A4:02:B9:F1:A7:88,11:06:32,0
2018-02-26,11:06:53,BC:83:85:EE:F3:DB,11:06:32,0
2018-02-26,11:06:36,b8:81:98:9a:99:76,11:06:36,0
2018-02-26,11:06:54,00:80:92:3a:a3:f8,11:06:43,0
2018-02-26,11:06:45,96:a9:12:a5:6e:71,11:06:45,0
2018-02-26,11:06:52,00:20:4a:ce:84:9d,11:06:52,0
2018-02-26,11:06:53,92:1b:ad:3b:44:29,11:06:53,0
2018-02-26,11:07:46,3e:8b:ce:99:3e:62,11:07:07,0
2018-02-26,11:07:52,00:9E:C8:52:19:7A,11:07:14,0
2018-02-26,11:07:15,dc:cf:96:5c:60:49,11:07:15,0
2018-02-26,11:07:26,e2:36:ac:07:42:04,11:07:26,0
2018-02-26,11:07:28,ec:08:6b:e7:03:eb,11:07:28,0
2018-02-26,11:07:30,e4:f0:42:38:20:47,11:07:30,0
2018-02-26,11:07:39,d0:5b:a8:3a:37:17,11:07:39,0
2018-02-26,11:07:41,5e:33:3d:74:19:ba,11:07:41,0
2018-02-26,11:07:44,80:73:9f:3b:b2:47,11:07:44,0
2018-02-26,11:07:45,ee:b4:e9:02:20:da,11:07:45,0
2018-02-26,11:07:49,7a:b6:48:64:08:54,11:07:49,0
2018-02-26,11:07:50,78:4f:43:a3:a8:79,11:07:50,0
2018-02-26,11:07:51,f0:d7:aa:80:0e:f9,11:07:51,0
2018-02-26,11:07:54,ac:bc:32:b3:c1:dd,11:07:54,0
2018-02-26,11:07:56,ee:75:43:b9:de:8b,11:07:56,0
2018-02-26,11:08:01,e2:ab:d3:b1:22:2e,11:08:01,0
2018-02-26,11:08:36,78:4f:43:77:32:cb,11:08:36,0
2018-02-26,11:09:04,5c:af:06:9a:4b:b0,11:08:43,0
2018-02-26,11:08:48,d4:63:c6:01:d7:54,11:08:48,0
2018-02-26,11:09:29,64:27:37:58:a2:37,11:09:29,0
2018-02-26,11:09:57,00:24:1d:bb:08:d0,11:09:31,0
2018-02-26,11:09:33,a2:9a:55:ba:73:2f,11:09:33,0
2018-02-26,11:09:36,dc:74:a8:7b:40:01,11:09:36,0
2018-02-26,11:09:46,da:a1:19:1e:99:4d,11:09:46,0
2018-02-26,11:09:50,da:a1:19:a0:9f:1c,11:09:50,0
2018-02-26,11:09:57,00:1b:0c:bf:e8:ce,11:09:53,0
2018-02-26,11:09:57,60:a4:d0:dc:2c:50,11:09:57,0
2018-03-01,10:58:25,40:CB:C0:14:84:84,10:58:11,0
2018-03-01,11:02:02,d0:5f:b8:8e:9a:ee,10:58:12,0
2018-03-01,11:02:06,34:08:bc:4d:99:d0,10:58:15,0
2018-03-01,11:02:39,d4:28:d5:e2:76:3a,10:58:17,0
2018-03-01,11:42:37,48:db:50:35:d4:e7,10:58:18,1
2018-03-01,11:42:30,b8:27:eb:64:2c:fc,10:58:18,1
2018-03-01,10:58:20,f2:80:39:e8:0a:d8,10:58:20,0
2018-03-01,10:58:27,02:37:af:c8:99:b5,10:58:27,0
2018-03-01,10:58:51,7c:01:91:14:29:d7,10:58:37,0
2018-03-01,10:58:37,f0:d7:aa:7e:67:ad,10:58:37,0
2018-03-01,10:58:58,30:5A:3A:12:2D:DB,10:58:37,0
2018-03-01,10:58:53,fc:42:03:d5:b7:3c,10:58:37,0
2018-03-01,10:58:39,8c:85:90:35:ef:14,10:58:39,0
2018-03-01,10:58:47,fc:c2:de:5d:ac:48,10:58:41,0
2018-03-01,10:58:43,7a:b7:32:87:65:17,10:58:43,0
2018-03-01,11:01:40,d0:04:01:0f:1d:ab,10:58:43,0
2018-03-01,10:58:43,62:cf:a3:0a:58:fa,10:58:43,0
2018-03-01,11:35:34,a4:08:ea:2c:ec:47,10:58:45,1
2018-03-01,10:58:49,92:e3:b1:73:c9:b5,10:58:49,0
2018-03-01,10:58:51,e6:67:09:de:4d:2f,10:58:51,0
2018-03-01,10:58:52,b6:d0:11:55:54:15,10:58:52,0
2018-03-01,10:58:53,76:fc:8d:ec:48:05,10:58:53,0
2018-03-01,10:58:54,68:ef:43:e2:f6:bd,10:58:54,0
2018-03-01,10:58:57,30:07:4d:54:25:c9,10:58:57,0
2018-03-01,10:58:57,22:ef:6c:ae:af:f4,10:58:57,0
2018-03-01,10:59:09,40:98:ad:83:af:79,10:58:57,0
2018-03-01,11:04:48,40:cb:c0:14:84:83,10:58:58,0
2018-03-01,10:58:59,82:05:fa:21:a1:9b,10:58:59,0
2018-03-01,10:59:00,fc:db:b3:db:9f:cf,10:59:00,0
2018-03-01,10:59:04,a2:c5:86:92:e0:bc,10:59:04,0
2018-03-01,10:59:10,1a:8f:e4:e4:d1:0a,10:59:10,0
2018-03-01,10:59:15,2a:d1:a2:a8:f7:82,10:59:15,0
2018-03-01,10:59:18,8e:d8:f9:df:1d:e1,10:59:18,0
2018-03-01,10:59:22,ce:f5:30:76:88:36,10:59:22,0
2018-03-01,10:59:24,12:ab:52:41:8a:88,10:59:24,0
2018-03-01,10:59:26,c6:d3:e1:ba:a5:ef,10:59:26,0
2018-03-01,10:59:30,1e:e1:f0:38:47:cc,10:59:30,0
2018-03-01,10:59:32,1c:cb:99:82:e3:46,10:59:32,0
2018-03-01,10:59:42,26:43:d1:dd:ba:8e,10:59:42,0
2018-03-01,10:59:50,22:67:31:c7:f1:99,10:59:50,0
2018-03-01,11:00:21,94:B2:CC:22:F5:CB,10:59:50,0
2018-03-01,10:59:50,7e:3d:1a:7a:94:57,10:59:50,0
2018-03-01,10:59:55,26:22:30:f9:47:d6,10:59:55,0
2018-03-01,10:59:59,7c:67:a2:39:0b:6b,10:59:59,0
2018-03-01,11:00:07,5a:0e:46:9c:91:59,11:00:07,0
2018-03-01,11:36:49,88:79:7e:55:a0:60,11:00:10,1
2018-03-01,11:02:09,94:e9:79:fa:94:01,11:00:11,0
2018-03-01,11:00:12,1e:e9:a7:a3:5d:e0,11:00:12,0
2018-03-01,11:00:16,3e:0d:f9:0f:e6:ab,11:00:16,0
2018-03-01,11:03:26,24:f0:94:5d:17:00,11:00:19,0
2018-03-01,11:00:20,16:b4:7a:fd:0e:f9,11:00:20,0
2018-03-01,11:00:25,60:f1:89:58:af:13,11:00:25,0
2018-03-01,11:00:40,34:14:5f:f3:8b:01,11:00:40,0
2018-03-01,11:00:42,ba:a8:ba:43:fe:37,11:00:41,0
2018-03-01,11:00:42,ca:45:b0:a6:3d:0b,11:00:42,0
2018-03-01,11:00:56,02:85:7d:da:50:bb,11:00:56,0
2018-03-01,11:00:58,42:c5:7c:7d:6e:8b,11:00:58,0
2018-03-01,11:02:06,6c:4d:73:e4:7e:53,11:01:14,0
2018-03-01,11:01:35,4c:74:bf:95:18:3e,11:01:17,0
2018-03-01,11:01:18,8a:65:9d:8b:8b:e1,11:01:18,0
2018-03-01,11:01:33,0e:b5:fd:eb:d4:4e,11:01:33,0
2018-03-01,11:01:34,1a:b5:45:f3:f2:fc,11:01:34,0
2018-03-01,11:01:35,d0:04:01:3b:24:d8,11:01:35,0
2018-03-01,11:01:38,6a:45:ee:37:9c:b0,11:01:38,0
2018-03-01,11:01:41,f4:5c:89:b8:05:c1,11:01:41,0
2018-03-01,11:01:47,f2:30:11:98:86:75,11:01:47,0
2018-03-01,11:46:44,00:18:16:10:16:63,11:01:48,1
2018-03-01,11:01:51,92:89:2e:68:28:75,11:01:51,0
2018-03-01,11:02:11,1c:36:bb:e5:15:37,11:01:53,0
2018-03-01,11:01:54,3a:1d:13:2b:ac:b2,11:01:54,0
2018-03-01,11:01:55,d0:04:01:fd:af:63,11:01:55,0
2018-03-01,11:01:59,fe:69:39:2d:4b:6f,11:01:59,0
2018-03-01,11:02:02,c6:24:9d:9c:a5:04,11:02:02,0
2018-03-01,11:02:03,d6:0b:30:14:c3:bc,11:02:03,0
2018-03-01,11:02:09,32:34:a2:d0:07:66,11:02:09,0
