tid,stoporder,stopid,onboard,offboard,arrtime,,,,,,,,
2,1,1_76305,15,0,3/6/2018 10:51,,,,,,,,
2,2,1_76301,2,0,3/6/2018 10:53,,,,,,,,
2,3,1_76306,0,2,3/6/2018 11:00,,,,,,,,
2,11,1_76360,2,0,3/6/2018 11:03,,,,,,,,
2,13,1_76372,0,1,3/6/2018 11:04,,,,,,,,
2,14,1_76390,4,0,3/6/2018 11:06,,,,,,,,
2,15,1_76420,1,1,3/6/2018 11:09,,,,,,,,
2,16,1_76590,1,0,3/6/2018 11:11,,,,,,,,
2,21,1_76660,4,2,3/6/2018 11:16,,,,,,,,
2,23,1_38653,5,0,3/6/2018 11:18,,,,,,,,
2,24,1_76700,2,6,3/6/2018 11:19,,,,,,,,
2,25,1_76710,6,0,3/6/2018 11:21,,,,,,,,
2,28,1_38180,2,3,3/6/2018 11:24,,,,,,,,
2,30,1_38220,2,0,3/6/2018 11:26,,,,,,,,
2,31,1_38240,1,1,3/6/2018 11:27,,,,,,,,
2,32,1_38260,2,0,3/6/2018 11:28,,,,,,,,
2,33,1_23890,3,1,3/6/2018 11:29,,,,,,,,
2,34,1_23895,2,0,3/6/2018 11:31,,,,,,,,
2,35,1_23905,1,1,3/6/2018 11:32,,,,,,,,
2,36,1_23910,1,1,3/6/2018 11:34,,,,,,,,
2,37,1_23915,3,1,3/6/2018 11:36,,,,,,,,
2,38,1_23920,19,1,3/6/2018 11:37,,,,,,,,
2,39,1_23925,7,1,3/6/2018 11:39,,,,,,,,
2,40,1_75406,0,23,3/6/2018 11:41,,,,,,,,
2,41,1_75403,0,14,3/6/2018 11:43,,,,,,,,
2,42,1_75402,0,6,3/6/2018 11:44,,,,,,,,
2,43,1_75404,1,4,3/6/2018 11:45,,,,,,,,
2,44,1_75405,0,7,3/6/2018 11:47,,,,,,,,
2,45,1_9144,0,10,3/6/2018 11:49,,,,,,,,
3,2,1_9575,5,0,3/6/2018 7:35,,,,,,,,
3,3,1_75412,1,0,3/6/2018 7:37,,,,,,,,
3,5,1_75415,6,1,3/6/2018 7:40,,,,,,,,
3,7,1_75410,2,5,3/6/2018 7:42,,,,,,,,
3,9,1_25792,1,0,3/6/2018 7:46,,,,,,,,
3,10,1_25793,3,0,3/6/2018 7:47,,,,,,,,
3,12,1_25795,4,1,3/6/2018 7:49,,,,,,,,
3,13,1_25797,1,0,3/6/2018 7:51,,,,,,,,
3,14,1_25798,0,1,3/6/2018 7:52,,,,,,,,
3,15,1_38530,0,2,3/6/2018 7:53,,,,,,,,
3,16,1_38550,0,1,3/6/2018 7:54,,,,,,,,
3,18,1_38590,1,0,3/6/2018 7:56,,,,,,,,
3,19,1_38610,1,1,3/6/2018 7:57,,,,,,,,
3,20,1_38620,1,0,3/6/2018 7:58,,,,,,,,
3,21,1_38650,2,0,3/6/2018 7:59,,,,,,,,
3,22,1_76720,4,2,3/6/2018 8:00,,,,,,,,
3,24,1_76750,2,0,3/6/2018 8:02,,,,,,,,
3,25,1_76770,2,0,3/6/2018 8:03,,,,,,,,
3,27,1_76810,1,0,3/6/2018 8:05,,,,,,,,
3,28,1_76820,0,1,3/6/2018 8:07,,,,,,,,
3,29,1_76830,1,0,3/6/2018 8:07,,,,,,,,
3,30,1_76840,2,0,3/6/2018 8:09,,,,,,,,
3,31,1_76870,1,1,3/6/2018 8:11,,,,,,,,
3,34,1_76900,2,0,3/6/2018 8:13,,,,,,,,
3,40,1_76226,0,3,3/6/2018 8:30,,,,,,,,
3,43,1_76305,0,24,3/6/2018 8:32,,,,,,,,
4,1,1_76305,6,0,3/1/2018 11:03,,,,,,,,
4,2,1_76301,1,0,3/1/2018 11:04,,,,,,,,
4,4,1_76308,1,0,3/1/2018 11:06,,,,,,,,
4,6,1_76302,1,0,3/1/2018 11:08,,,,,,,,
4,7,1_76310,1,0,3/1/2018 11:10,,,,,,,,
4,8,1_76330,1,0,3/1/2018 11:11,,,,,,,,
4,10,1_76350,0,1,3/1/2018 11:13,,,,,,,,
4,13,1_76372,1,1,3/1/2018 11:14,,,,,,,,
4,15,1_76420,3,0,3/1/2018 11:18,,,,,,,,
4,17,1_76595,2,0,3/1/2018 11:21,,,,,,,,
4,20,1_76630,1,0,3/1/2018 11:23,,,,,,,,
4,21,1_76660,5,0,3/1/2018 11:25,,,,,,,,
4,24,1_76700,1,2,3/1/2018 11:29,,,,,,,,
4,25,1_76710,3,1,3/1/2018 11:31,,,,,,,,
